Owner_info,No_BHK,Locality_info,Price_info,Construction_info,Area_info,Rate_per_sqft
OWNER,5,Kothapet, 2.5 Cr,Ready to move,4400,"5,681 / sq ft"
OWNER,3,Bandlaguda Jagir, 93 L,Ready to move,1332,"6,981 / sq ft"
OWNER,2,Pasumamula, 60 L,Under Construction,1300,"4,615 / sq ft"
OWNER,2,Madhapur, 1.29 Cr,Ready to move,1360,"9,485 / sq ft"
OWNER,3,Kishan Bagh, 45 L,Ready to move,900,"5,000 / sq ft"
OWNER,2,Chengicherla, 62 L,Ready to move,1197,"5,179 / sq ft"
OWNER,2,Manikonda, 26 L,Ready to move,700,"3,714 / sq ft"
OWNER,2,Karmanghat, 53.72 L,Ready to move,1130,"4,753 / sq ft"
OWNER,2,Meerpet, 32 L,Ready to move,870,"3,678 / sq ft"
OWNER,3,Nanakramguda, 1.66 Cr,Ready to move,1870,"8,877 / sq ft"
OWNER,4,Kondakal, 1 Cr,Under Construction,1800,"5,555 / sq ft"
OWNER,2,Jeedimetla, 32 L,Ready to move,864,"3,703 / sq ft"
OWNER,2,Suchitra, 65 L,Ready to move,1220,"5,327 / sq ft"
OWNER,Residential Plot,Shankarpalli, 28 L,Resale,1500,"1,866 / sq ft"
AGENT,3,Tellapur, 1.28 Cr,Under Construction,2208,"5,800 / sq ft"
AGENT,3,Tellapur, 2.07 Cr,Under Construction,3569,"5,800 / sq ft"
AGENT,3,Tellapur, 1.17 Cr,Under Construction,2132,"5,500 / sq ft"
AGENT,3,Tellapur, 1 Cr,Under Construction,2132,"4,700 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Mokila, 80 L,Under Construction,2600,"3,076 / sq ft"
OWNER,2,Puppalaguda, 82.41 L,Under Construction,1230,"6,700 / sq ft"
OWNER,9,Saidabad, 2.9 Cr,Ready to move,5400,"5,370 / sq ft"
OWNER,3,Madhapur, 1.03 Cr,Under Construction,1450,"7,103 / sq ft"
OWNER,3,Madhapur, 1.03 Cr,Under Construction,1450,"7,103 / sq ft"
OWNER,9,Saidabad, 2.9 Cr,Ready to move,5400,"5,370 / sq ft"
OWNER,9,Saidabad, 2.9 Cr,Ready to move,5400,"5,370 / sq ft"
OWNER,4,Indresham, 77.99 L,Ready to move,1800,"4,333 / sq ft"
OWNER,4,Indresham, 77.99 L,Ready to move,1800,"4,333 / sq ft"
